date_time(UTC:PDT+7), solinst_stage(cm), solinst_stage(ft), manual_stage(cm), manual_stage(ft), flags(1=manual_excluded_from_rating_curve:2=solinst_excluded_from_rating_curve:3=discharge_from_Dana_and_Lyell_stage_time_approximate), discharge(cfs)
2004/05/14 20:00:00, 143.50,  4.71, 145.92,  4.79,  0,   NaN
2004/05/13 18:36:00, 134.22,  4.40, 133.73,  4.39,  0,   NaN
2004/05/13 21:19:00, 134.30,  4.41, 132.20,  4.34,  0,   NaN
2004/06/23 15:52:00, 134.80,  4.42, 132.20,  4.34,  0,   NaN
2004/07/06 20:30:00, 118.20,  3.88, 119.40,  3.92,  0,   NaN
2004/07/07 22:18:00, 115.98,  3.81, 115.74,  3.80,  0,   NaN
2004/07/22 21:47:00, 101.36,  3.33, 104.77,  3.44,  0,   NaN
2005/10/01 19:58:00, 86.35,  2.83, 97.15,  3.19,  0,   NaN
2005/10/28 20:26:00, 85.00,  2.79, 79.78,  2.62,  0,   NaN
2004/05/25 22:21:00, 133.21,  4.37,   NaN,   NaN,  1,   NaN
2004/05/27 03:00:00, 141.50,  4.64,   NaN,   NaN,  1,   NaN
2005/06/14 22:21:00, 202.86,  6.66,   NaN,   NaN,  1,   NaN
2005/07/06 16:34:00, 188.97,  6.20,   NaN,   NaN,  1,   NaN
2005/09/19 15:10:00, 83.53,  2.74,   NaN,   NaN,  1,   NaN
2005/10/04 15:18:00, 83.32,  2.73,   NaN,   NaN,  1,   NaN
2005/09/20 15:10:00, 83.70,  2.75,   NaN,   NaN,  1,   NaN
2005/06/14 22:21:00, 202.86,  6.66,   NaN,   NaN,  1,   NaN
2005/08/30 22:00:00, 98.00,  3.22,   NaN,   NaN,  1,   NaN
2006/06/28 22:30:00, 207.30,  6.80,   NaN,   NaN,  1,   NaN
2006/07/24 21:10:00, 137.87,  4.52,   NaN,   NaN,  1,   NaN
2006/08/07 22:50:00, 101.83,  3.34,   NaN,   NaN,  1,   NaN
2006/06/19 01:30:00, 216.30,  7.10,   NaN,   NaN,  1,   NaN
2008/05/20 00:04:00,   NaN,   NaN, 199.63,  6.55,  2,   NaN
2008/05/20 17:48:00,   NaN,   NaN, 186.22,  6.11,  2,   NaN
2008/05/21 16:29:00,   NaN,   NaN, 182.87,  6.00,  2,   NaN
2008/05/22 00:28:00,   NaN,   NaN, 177.38,  5.82,  2,   NaN
2008/05/22 16:40:00,   NaN,   NaN, 162.45,  5.33,  2,   NaN
2008/05/22 18:00:00,   NaN,   NaN, 160.93,  5.28,  2,   NaN
2008/05/25 19:37:00,   NaN,   NaN, 129.84,  4.26,  2,   NaN
2008/05/26 02:28:00,   NaN,   NaN, 131.67,  4.32,  2,   NaN
2008/05/28 16:45:00,   NaN,   NaN, 123.13,  4.04,  2,   NaN
2008/05/28 20:55:00,   NaN,   NaN, 122.83,  4.03,  2, 188.00
2008/06/01 23:55:00,   NaN,   NaN, 138.68,  4.55,  2,   NaN
2008/06/02 20:37:00,   NaN,   NaN, 145.08,  4.76,  2, 353.85
2008/06/04 18:06:00,   NaN,   NaN, 159.71,  5.24,  2, 469.32
2008/06/05 23:22:00,   NaN,   NaN, 148.43,  4.87,  2, 394.70
2008/06/09 19:00:00,   NaN,   NaN, 122.52,  4.02,  2, 430.31
2008/06/10 14:55:00,   NaN,   NaN, 170.37,  5.59,  2, 565.86
2008/06/11 21:55:00,   NaN,   NaN, 146.30,  4.80,  2, 419.24
2008/06/11 22:30:00,   NaN,   NaN, 152.39,  5.00,  2,   NaN
2008/06/17 18:09:00,   NaN,   NaN, 151.17,  4.96,  2, 386.46
2008/07/03 17:57:00,   NaN,   NaN, 121.30,  3.98,  2,   NaN
2008/07/09 21:30:00,   NaN,   NaN, 109.11,  3.58,  2, 246.87
2008/07/10 00:30:00,   NaN,   NaN, 107.28,  3.52,  2,   NaN
2008/07/14 16:05:00,   NaN,   NaN, 114.60,  3.76,  2, 137.69
2008/07/14 23:05:00,   NaN,   NaN, 121.61,  3.99,  2,   NaN
2008/07/16 19:00:00, 110.40,  3.62, 111.55,  3.66,  0, 123.97
2008/07/23 22:55:00, 95.06,  3.12, 95.09,  3.12,  0,   NaN
2008/07/25 19:00:00, 95.59,  3.14, 95.09,  3.12,  0, 53.30
