station_m,elevation_m
0,2.685288
0.4572,2.093976
2.80416,1.734312
3.2004,1.551432
3.2766,1.307592
7.07136,0.57912
9.81456,0.448056
12.10056,0.371856
13.4112,0.192024
14.99616,0.118872
15.60576,0
15.66672,0.9144
17.73936,2.157984
18.34896,1.911096
18.40992,2.551176
19.56816,1.18872
20.78736,1.993392
21.09216,2.88036
