1,48.677,121.08,364
2,48.677,121.08,364
3,48.661,121.04,1073
4,48.661,121.04,1073
5,48.664,121.05,970
6,48.664,121.05,970
7,48.665,121.06,745
8,48.665,121.06,745
9,48.67,121.06,703
10,48.67,121.06,703
11,48.668,121.07,721
12,48.668,121.07,721
13,48.506,120.76,1729
14,48.506,120.76,1729
15,48.509,120.74,1672
16,48.509,120.74,1672
17,48.508,120.76,1843
18,48.508,120.76,1843
19,48.505,120.77,2024
20,48.505,120.77,2024
21,48.5,120.76,2121
22,48.5,120.76,2121
23,48.728,121.06,663
24,48.728,121.06,663
25,48.706,120.92,593
26,48.706,120.92,593
27,48.667,120.87,797
28,48.667,120.87,797
29,48.588,120.8,1133
30,48.588,120.8,1133
33,48.519,120.68,1640
34,48.519,120.68,1640
35,48.579,120.63,1167
36,48.579,120.63,1167
37,48.587,120.49,697
38,48.587,120.49,697
39,48.598,120.45,695
40,48.598,120.45,695
41,48.562,120.64,1222
42,48.562,120.64,1222
43,48.518,120.74,1516
44,48.518,120.74,1516
45,48.527,120.65,1725
